# collart_ios 表文档索引

项目名称：collart ios

表数量：9

| 表名 | 中文名 | 分层 | 主题 | 优先级 | 字段数 | 状态 | 文档 |
|---|---|---|---|---|---:|---|---|
| `aidata2025.ads_collart.ads_high_value_user_Info` | Collart iOS高价值用户表 | ADS应用层 | 用户画像主题 | 低 | 0 | `table_info_only/missing` | [打开](../tables/aidata2025.ads_collart.ads_high_value_user_Info.md) |
| `aidata2025.ads_collart.ads_high_value_user_prompt_info` | Collart iOS高价值用户擦边类型 | ADS应用层 | 用户画像主题 | 低 | 0 | `table_info_only/missing` | [打开](../tables/aidata2025.ads_collart.ads_high_value_user_prompt_info.md) |
| `aidata2025.ai_service.ai_service_data` | 用户ai服务使用明细表(客户端） | ADS应用层 | AI服务主题 | - | 0 | `table_info_only/missing` | [打开](../tables/aidata2025.ai_service.ai_service_data.md) |
| `aidata2025.ai_service.ai_service_detail` | 用户ai服务调用次数以及消耗表 | ADS应用层 | AI服务主题 | - | 0 | `table_info_only/missing` | [打开](../tables/aidata2025.ai_service.ai_service_detail.md) |
| `aidata2025.ai_service.collart_core_event_bi` | Collart ios/android ai服务事件的uv、pv | ADS应用层 | firebase埋点通用 | 中 | 12 | `complete/available` | [打开](../tables/aidata2025.ai_service.collart_core_event_bi.md) |
| `aidata2025.dim.collart_product_price_copy` | 产品商品价格表 | DIM层 | 业务数据（维表） | 低 | 3 | `complete/available` | [打开](../tables/aidata2025.dim.collart_product_price_copy.md) |
| `aidata2025.dwd.dwd_oper_delivery_collart_di` | adjust数据归因明细表-collart | DWD明细层 | 增长主题 | 低 | 0 | `table_info_only/missing` | [打开](../tables/aidata2025.dwd.dwd_oper_delivery_collart_di.md) |
| `aidata2025.dws.dws_oper_delivery_user_collart_1d` | adjust数据归因 用户粒度汇总 | DWS汇总层 | 增长主题 | 低 | 8 | `complete/available` | [打开](../tables/aidata2025.dws.dws_oper_delivery_user_collart_1d.md) |
| `storytemplate-10a27.analytics_232977577.events_*` | ai组原始埋点表 | ODS原始层 | firebase埋点通用 | 中 | 0 | `table_info_only/missing` | [打开](../tables/storytemplate-10a27.analytics_232977577.events.md) |
