name,previous,current,delta
Credit Pack 20000,3246.5799999999995,4665.379999999999,1418.7999999999997
Subscribe to Premium,394.48,1060.2489549332768,665.7689549332767
Credit Pack 800 - Standard,139.85446243190816,467.44,327.5855375680918
Subscribe to Standard,409.7189766166614,732.4109898328215,322.69201321616015
Credit Pack 400 - Standard,412.3684078963423,553.0457575546409,140.67734965829857
Credit Pack 400,627.2825692989725,757.92082675546,130.6382574564875
Credit Pack 1600 - Standard,308.0088405346568,405.67,97.66115946534319
Subscribe Monthly Pro,93.55000000000001,130.97000000000003,37.420000000000016
Credit Pack 1600,1067.6299999999999,1091.7316394900504,24.101639490050502
Credit Pack 3200 - Standard,61.6,62.92,1.3200000000000003
Subscribe Monthly Standard,300.29999999999995,300.29999999999995,0.0
Subscribe to Pro,181.25392352712745,166.59000000000003,-14.663923527127423
Subscribe Monthly Premium,417.23,265.51,-151.72000000000003
Credit Pack 800,1479.820000000001,1318.0573203755625,-161.76267962443853
Credit Pack 3200,2642.965923441762,2404.773277079771,-238.19264636199068
Credit Pack 40000,800.0699999999999,403.11,-396.9599999999999
Credit Pack 6400,5048.611944458655,4247.332588281451,-801.2793561772041
