# 仓库加工来源与依赖

依据：2026-05-21 字典导出的显式上游。缺省项目的二段表名保持原样；未声明的依赖不推断。以下边仅表示历史登记关系，是否仍在调度需核对。当前口径入口见各表正文。

| 下游 | 原登记上游 | 加工任务 |
|---|---|---|
| [aidata2025.ads.ads_ad_sub_revenue_1h](../tables/aidata2025.ads.ads_ad_sub_revenue_1h.md) | pubdata2025.dws.dws_cdct_revenue_country_1d,aidata2025.dwd.dwd_oper_sub_order_revenue_df,pubdata2025.ods.ods_apple_sales_1d,pubdata2025.dwd.dwd_cdct_revenue_stripe_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fads%2Frevenue%2Fh_ads_ad_sub_revenue_1h.sqlx?project=aidata2025&supportedpurview=project) |
| [aidata2025.ads.ads_aidata_retain_di](../tables/aidata2025.ads.ads_aidata_retain_di.md) | aidata2025.dwd.dwd_oper_user_basic_di | ads/daily/ads_aidata_retain_di.sqlx |
| [aidata2025.ads.ads_hangzhou_revenue_country_1d](../tables/aidata2025.ads.ads_hangzhou_revenue_country_1d.md) | downloaddata2025.ads.ads_ad_sub_revenue_1h,aidata2025.dwd.dwd_oper_sub_order_revenue_df,pubdata2025.ods.ods_apple_sales_1d,pubdata2025.dws.dws_cdct_revenue_country_1d | BigQuery – AIDATA – Google Cloud 控制台 |
| [aidata2025.ads.ads_user_subscribe_daily_1d](../tables/aidata2025.ads.ads_user_subscribe_daily_1d.md) | aidata2025.dwd.dwd_oper_sub_order_revenue_df | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fads%2Frevenue%2Fads_user_subscribe_daily_1d.sqlx?project=aidata2025) |
| [aidata2025.ads.ads_user_subscribe_lifecycle_1d](../tables/aidata2025.ads.ads_user_subscribe_lifecycle_1d.md) | aidata2025.dwd.dwd_oper_sub_order_revenue_df | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fads%2Frevenue%2Fads_user_subscribe_lifecycle_1d.sqlx?project=aidata2025) |
| [aidata2025.ads_collart.ads_oper_event_param_summary_collart_di](../tables/aidata2025.ads_collart.ads_oper_event_param_summary_collart_di.md) | storytemplate-10a27.analytics_232977577.events_*,aidata2025.dwd.dwd_oper_user_collart_di | ads_oper_e…y_di.sqlx – Code – Dataform – BigQuery – AIDATA – Google Cloud 控制台 |
| [aidata2025.ads_collart.ads_oper_event_summary_collart_di](../tables/aidata2025.ads_collart.ads_oper_event_summary_collart_di.md) | storytemplate-10a27.analytics_232977577.events_*,aidata2025.dwd.dwd_oper_user_collart_di | ads_oper_e…t_di.sqlx – Code – Dataform – BigQuery – AIDATA – Google Cloud 控制台 |
| [aidata2025.ads_collart.ads_oper_user_event_collart_di](../tables/aidata2025.ads_collart.ads_oper_user_event_collart_di.md) | storytemplate-10a27.analytics_232977577.events_*,aidata2025.dwd.dwd_oper_user_collart_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fads%2Fcollart%2Fads_oper_user_event_collart_di.sqlx?project=aidata2025) |
| [aidata2025.ads_collart.ads_oper_user_event_param_collart_di](../tables/aidata2025.ads_collart.ads_oper_user_event_param_collart_di.md) | storytemplate-10a27.analytics_232977577.events_*,aidata2025.dwd.dwd_oper_user_collart_di | [任务](https://console.cloud.google.com/bigquery/dataform/locations/us-east1/repositories/aidata/workspaces/script/files/definitions%2Fads%2Fcollart%2Fads_oper_user_event_param_collart_di.sqlx?project=aidata2025) |
