period,dimension,value,transactions,payers,net_revenue,gross_usd,largest_transaction,high_value_transactions,high_value_revenue,missing_user,negative_revenue
previous,date,2026-08-28,82,49,2794.885003091829,2959.3950030918277,403.11,4,1014.47,1,0.0
previous,date,2026-08-29,86,63,3052.340458257306,3245.180458257304,243.53,5,1050.23,0,0.0
previous,date,2026-08-30,68,49,1910.2601542565983,2027.2801542565987,205.14,1,205.14,0,0.0
previous,date,2026-08-31,71,39,2078.7599999999998,2220.6899999999987,201.03,1,201.03,0,0.0
previous,date,2026-09-01,79,62,2185.9057115995056,2324.4657115995046,205.14,1,205.14,0,0.0
previous,date,2026-09-02,78,56,2016.6737210008423,2145.2637210008425,205.14,1,205.14,0,0.0
previous,date,2026-09-03,110,61,3592.5,3838.529999999998,396.96,7,1533.45,0,0.0
current,date,2026-09-04,99,71,2862.2203952057907,3047.50039520579,403.11,3,805.6200000000001,0,0.0
current,date,2026-09-05,90,62,2891.7215720237673,3084.7015720237673,205.14,6,1208.23,0,0.0
current,date,2026-09-06,85,60,2617.362980216144,2781.042980216143,205.14,4,816.1999999999999,0,0.0
current,date,2026-09-07,68,48,1842.572432591139,1964.6224325911398,244.19,2,449.33,0,0.0
current,date,2026-09-08,90,60,2468.1802609520723,2621.0102609520713,249.35,3,698.7,1,0.0
current,date,2026-09-09,82,50,2322.5482430225843,2474.3582430225842,244.5,1,244.5,0,0.0
current,date,2026-09-10,109,66,4028.805470291529,4282.815470291529,205.14,9,1828.1599999999999,0,0.0
