# 四端 ads_dim_metric_rule 行清单（2026-09-02 晚间回补后快照）

权威以 Sheet / BQ 外表为准。正文见 [ads_dim_metric_rule.md](./ads_dim_metric_rule.md)。

## android
| metric_name | 中文 | event_name | event_params | agg | enabled | materialized |
|---|---|---|---|---|---|---|
| `img2video_generate_start_pv` | 图生视频 生成开始 | `= 'ai_service_start'` | `service_type = 'img2video'` | count_distinct_task_id | True | True |
| `img2video_generate_success_pv` | 图生视频 生成成功 | `= 'ai_service_success'` | `service_type = 'img2video'` | count_distinct_task_id | True | True |
| `home_show_pv` | 首页曝光 | `= 'Home_show'` | `` | count_events | True | True |
| `home_template_click_pv` | 首页模板点击 | `= 'Home_Template_Click'` | `` | count_events | True | True |
| `album_show_pv` | 相册曝光 | `= 'album_show'` | `` | count_events | True | True |
| `generate_ready_pv` | 生成准备 | `in ('generate_watch_ad','generate_pro_create')` | `` | count_events | True | True |
| `generate_save_pv` | 生成保存 | `= 'ai_service_download_start'` | `` | count_events | True | True |
| `generate_start_pv` | 服务调用开始 | `= 'ai_service_start'` | `` | count_distinct_task_id | True | True |
| `generate_success_pv` | 服务调用成功 | `= 'ai_service_success'` | `` | count_distinct_task_id | True | True |
| `video_generate_start_pv` | 视频生成·开始 | `= 'ai_service_start'` | `service_type like '%video%'` | count_distinct_task_id | True | True |
| `framestransition_video_generate_start_pv` | FramesTransition 视频生成·开始 | `= 'ai_service_start'` | `service_type like '%video%' and function_type = 'framestransition'` | count_distinct_task_id | True | True |
| `motioncontrol_video_generate_start_pv` | MotionControl 视频生成·开始 | `= 'ai_service_start'` | `service_type like '%video%' and function_type = 'motioncontrol'` | count_distinct_task_id | True | True |
| `text2video_video_generate_start_pv` | AItext2video 视频生成·开始 | `= 'ai_service_start'` | `service_type like '%video%' and function_type = 'aitext2video'` | count_distinct_task_id | True | True |
| `referencetovideo_video_generate_start_pv` | referencetovideo 生成开始 | `= 'ai_service_start'` | `service_type like '%video%' and function_type = 'referencetovideo'` | count_distinct_task_id | True | True |
| `img2img_generate_start_pv` | 图生图·生成开始 | `= 'ai_service_start'` | `service_type in ('aigeneral','img2img')` | count_distinct_task_id | True | True |
| `img_generate_start_pv` | 图片生成·生成开始 | `= 'ai_service_start'` | `service_type in ('aigeneral','img2img','texttoimage','text2img')` | count_distinct_task_id | True | True |
| `text2img_generate_start_pv` | 文生图·开始 | `= 'ai_service_start'` | `service_type in ('text2img','texttoimage')` | count_distinct_task_id | True | True |
| `aiedit_img2img_generate_start_pv` | AIEdit 图生图·开始 | `= 'ai_service_start'` | `service_type in ('aigeneral','img2img') and function_type = 'aiedit'` | count_distinct_task_id | True | True |
| `multireference_img2img_generate_start_pv` | MultiReference 图生图·开始 | `= 'ai_service_start'` | `service_type in ('aigeneral','img2img') and function_type = 'multireference'` | count_distinct_task_id | True | True |
| `video_generate_success_pv` | 视频生成·成功 | `= 'ai_service_success'` | `service_type like '%video%'` | count_distinct_task_id | True | True |
| `framestransition_video_generate_success_pv` | FramesTransition 视频生成·成功 | `= 'ai_service_success'` | `service_type like '%video%' and function_type = 'framestransition'` | count_distinct_task_id | True | True |
| `motioncontrol_video_generate_success_pv` | MotionControl 视频生成·成功 | `= 'ai_service_success'` | `service_type like '%video%' and function_type = 'motioncontrol'` | count_distinct_task_id | True | True |
| `text2video_video_generate_success_pv` | AItext2video 视频生成·成功 | `= 'ai_service_success'` | `service_type like '%video%' and function_type = 'aitext2video'` | count_distinct_task_id | True | True |
| `referencetovideo_video_generate_success_pv` | referencetovideo 生成成功 | `= 'ai_service_success'` | `service_type like '%video%' and function_type = 'referencetovideo'` | count_distinct_task_id | True | True |
| `img2img_generate_success_pv` | 图生图·生成成功 | `= 'ai_service_success'` | `service_type in ('aigeneral','img2img')` | count_distinct_task_id | True | True |
| `img_generate_success_pv` | 图片生成·生成成功 | `= 'ai_service_success'` | `service_type in ('aigeneral','img2img','texttoimage','text2img')` | count_distinct_task_id | True | True |
| `text2img_generate_success_pv` | 文生图·成功 | `= 'ai_service_success'` | `service_type in ('text2img','texttoimage')` | count_distinct_task_id | True | True |
| `aiedit_img2img_generate_success_pv` | AIEdit 图生图·成功 | `= 'ai_service_success'` | `service_type in ('aigeneral','img2img') and function_type = 'aiedit'` | count_distinct_task_id | True | True |
| `multireference_img2img_generate_success_pv` | MultiReference 图生图·成功 | `= 'ai_service_success'` | `service_type in ('aigeneral','img2img') and function_type = 'multireference'` | count_distinct_task_id | True | True |
| `video_save_pv` | 视频保存 | `= 'ai_service_download_start'` | `service_type like '%video%'` | count_distinct_task_id | True | True |
| `image_save_pv` | 生图保存 | `= 'ai_service_download_start'` | `service_type in ('aigeneral','img2img','texttoimage','text2img')` | count_distinct_task_id | True | True |
