name,previous,current,delta
CA,749.4100000000001,1770.7199999999998,1021.3099999999997
GB,1560.14,2495.6599999999994,935.5199999999993
US,8543.26,8949.350000000002,406.09000000000196
ES,41.31,279.70000000000005,238.39000000000004
IE,210.06,356.54,146.48000000000002
CL,71.78999999999999,203.30000000000004,131.51000000000005
RU,409.727502805682,483.26743424762174,73.53993144193976
CN,0,55.150268353718744,55.150268353718744
JP,176.16000000000003,230.3,54.139999999999986
SG,0,48.48,48.48
AE,0,37.93,37.93
AT,0,37.13,37.13
BE,9.1,37.93,28.83
CZ,10.06,28.770000000000003,18.71
RS,0,18.71,18.71
BR,21.18,39.79,18.61
MY,0,16.084345432650956,16.084345432650956
PH,27.1,37.17,10.07
SA,14.96,21.03,6.07
EG,27.3,21.54,-5.760000000000002
TH,46.24,37.12,-9.120000000000005
CO,9.91,0,-9.91
MA,170.92,155.74,-15.179999999999978
ID,44.01754540039966,28.01930626903814,-15.998239131361522
LV,18.2,0,-18.2
PL,104.88000000000001,86.52000000000001,-18.36
TW,19.24,0,-19.24
TR,48.34,20.82,-27.520000000000003
SE,30.229999999999997,0,-30.229999999999997
NZ,33.66,0,-33.66
HU,34.09,0,-34.09
CR,37.93,0,-37.93
QA,37.93,0,-37.93
KI,37.93,0,-37.93
IN,127.75999999999999,70.03,-57.72999999999999
UA,267.04,200.28000000000003,-66.75999999999999
KW,333.8,267.04,-66.75999999999999
IT,447.79,377.79,-70.0
FR,295.16,206.02999999999997,-89.13000000000005
MX,330.83,205.19,-125.63999999999999
DE,314.84,185.6,-129.23999999999998
NL,1128.44,869.51,-258.93000000000006
unknown,1265.0400000000004,1005.6800000000001,-259.36000000000035
AU,575.55,149.49,-426.05999999999995
